file,context,context_pos,target_word,gloss,is_proper_gloss,wn_index,sense_full
../semcor3.0/brown2/br-h13.naf,for several years now the commuter railroads serving our,for_IN several_JJ years_NN now_RB the_DT commuter_NN railroads_NN serving_VB our_PRP,w0,a human being,True,person%1:03:00::,person.n.01
../semcor3.0/brown2/br-h13.naf,Mr._Speaker for several years the commuter railroads serving our large metropolitan areas have,Mr._Speaker_NNP for_IN several_JJ years_NN the_DT commuter_NN railroads_NN serving_VB our_PRP $ large_JJ metropolitan_JJ areas_NN,w4,a period of time containing 365 (or 366) days,True,year%1:28:01::,year.n.01
../semcor3.0/brown2/br-h13.naf,Mr._Speaker for several years now commuter railroads serving our large metropolitan areas have found,Mr._Speaker_NNP for_IN several_JJ years_NN now_RB commuter_NN railroads_NN serving_VB our_PRP $ large_JJ metropolitan_JJ areas_NN have_VB,w5,in the historical present; at this point in the narration of a series of past events,True,now%4:02:05::,now.r.01
../semcor3.0/brown2/br-h13.naf,Mr._Speaker for several years now the commuter serving our large metropolitan areas have found it increasingly,Mr._Speaker_NNP for_IN several_JJ years_NN now_RB the_DT commuter_NN serving_VB our_PRP $ large_JJ metropolitan_JJ areas_NN have_VB found_VB it_PRP,w7,a passenger train that is ridden primarily by passengers who travel regularly from one place to another,True,commuter%1:06:00::,commuter.n.01
../semcor3.0/brown2/br-h13.naf,Mr._Speaker for several years now the commuter railroads our large metropolitan areas have found it increasingly difficult,Mr._Speaker_NNP for_IN several_JJ years_NN now_RB the_DT commuter_NN railroads_NN our_PRP $ large_JJ metropolitan_JJ areas_NN have_VB found_VB it_PRP increasingly_RB,w8,line that is the commercial organization responsible for operating a system of transportation for trains that pull passengers or freight,True,railroad%1:06:00::,railway.n.01
../semcor3.0/brown2/br-h13.naf,Mr._Speaker for several years now the commuter railroads serving large metropolitan areas have found it increasingly difficult to,Mr._Speaker_NNP for_IN several_JJ years_NN now_RB the_DT commuter_NN railroads_NN serving_VB $ large_JJ metropolitan_JJ areas_NN have_VB found_VB it_PRP increasingly_RB difficult_JJ,w9,"devote (part of) one's life or efforts to, as of countries, institutions, or ideas",True,serve%2:41:02::,serve.v.07
../semcor3.0/brown2/br-h13.naf,for several years now the commuter railroads serving our large areas have found it increasingly difficult to render the,for_IN several_JJ years_NN now_RB the_DT commuter_NN railroads_NN serving_VB our_PRP $ metropolitan_JJ areas_NN have_VB found_VB it_PRP increasingly_RB difficult_JJ to_TO render_VB,w11,above average in size or number or quantity or magnitude or extent,True,large%3:00:00::,large.a.01
../semcor3.0/brown2/br-h13.naf,several years now the commuter railroads serving our large metropolitan have found it increasingly difficult to render the kind,several_JJ years_NN now_RB the_DT commuter_NN railroads_NN serving_VB our_PRP $ large_JJ areas_NN have_VB found_VB it_PRP increasingly_RB difficult_JJ to_TO render_VB the_DT,w12,relating to or characteristic of a metropolis,True,metropolitan%3:01:00::,metropolitan.a.01
../semcor3.0/brown2/br-h13.naf,years now the commuter railroads serving our large metropolitan areas found it increasingly difficult to render the kind of,years_NN now_RB the_DT commuter_NN railroads_NN serving_VB our_PRP $ large_JJ metropolitan_JJ have_VB found_VB it_PRP increasingly_RB difficult_JJ to_TO render_VB the_DT kind_NN,w13,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography),True,area%1:15:01::,area.n.01
../semcor3.0/brown2/br-h13.naf,the commuter railroads serving our large metropolitan areas have found increasingly difficult to render the kind of service our,the_DT commuter_NN railroads_NN serving_VB our_PRP $ large_JJ metropolitan_JJ areas_NN have_VB it_PRP increasingly_RB difficult_JJ to_TO render_VB the_DT kind_NN of_RB service_NN,w15,"establish after a calculation, investigation, experiment, survey, or study",True,find%2:32:00::,determine.v.01
