uid,sentence,sense_keys,glosses,target
d000.s000.t000,How [TGT] long [TGT] has it been since you reviewed the objectives of your benefit and service program ?,"['long%3:00:04::', 'long%3:00:02::', 'long%3:00:05::', 'long%5:00:00:abundant:00']","['(of speech sounds or syllables) of relatively long duration', 'primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified', 'holding securities or commodities in expectation of a rise in prices', 'having or being more than normal or necessary:']","[1]"
d000.s000.t001,How long has it [TGT] been [TGT] since you reviewed the objectives of your benefit and service program ?,"['be%2:42:06::', 'be%2:42:02::', 'be%2:42:13::', 'be%2:42:03::']","['be identical to; be someone or something', 'form or compose', 'to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form', 'have the quality of being; (copula, used with an adjective or a predicate noun)']",[3]
d000.s00g0.t002,How long has it been since you [TGT] reviewed [TGT] the objectives of your benefit and service program ?,"['review%2:31:04::', 'review%2:32:00::', 'review%2:31:00::', 'review%2:31:01::']","[""refresh one's memory"", 'appraise critically', 'look at again; examine again', 'look back upon (a period of time, sequence of events); remember']",[2]
d000.s000.t003,How long has it been since you reviewed the [TGT] objectives [TGT] of your benefit and service program ?,"['objective%1:06:00::', 'objective%1:09:00::']","['the lens or system of lenses in a telescope or microscope that is nearest the object being viewed', 'the goal intended to be attained (and which is believed to be attainable)']",[1]
d000.s000.t004,How long has it been since you reviewed the objectives of your [TGT] benefit [TGT] and service program ?,"['benefit%1:21:00::', 'benefit%1:10:00::', 'benefit%1:07:00::']","['financial assistance in time of need', 'a performance to raise money for a charitable cause', 'something that aids or promotes well-being']",[0]
d000.s000.t005,How long has it been since you reviewed the objectives of your benefit and [TGT] service [TGT] program ?,"['service%1:18:00::', 'service%1:04:08::', 'service%1:04:06::', 'service%1:04:07::']","['Canadian writer (born in England) who wrote about life in the Yukon Territory (1874-1958)', 'work done by one person or group that benefits another', 'the performance of duties by a waiter or servant', 'employment in or work for another']",[3]
d000.s000.t006,How long has it been since you reviewed the objectives of your benefit and service [TGT] program [TGT] ?,"['program%1:09:00::', 'program%1:10:00::', 'program%1:09:01::', 'program%1:10:02::']","['a series of steps to be carried out or goals to be accomplished', 'an announcement of the events that will occur as part of a theatrical or sporting event', 'a system of projects or services intended to meet a public need', '(computer science) a sequence of instructions that a computer can interpret and execute']",[2]
d000.s001.t000,"Have you [TGT] permitted [TGT] it to become a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?","['permit%2:32:06::', 'permit%2:41:00::', 'permit%2:32:00::']","['allow the presence of or allow (an activity) without opposing or prohibiting', 'make it possible through a specific action or lack of action for something to happen', 'consent to, give permission']",[1]
d000.s001.t001,"Have you permitted it to [TGT] become [TGT] a giveaway program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?","['become%2:42:03::', 'become%2:30:00::', 'become%2:42:01::', 'become%2:42:00::']","['enhance the appearance of', 'enter or assume a certain state or condition', 'undergo a change or development', 'come into existence']",[2]
d000.s001.t002,"Have you permitted it to become a [TGT] giveaway [TGT] program rather than one that has the goal of improved employee morale and , consequently , increased productivity ?","['giveaway%1:21:00::', 'giveaway%1:10:01::', 'giveaway%1:10:00::']","['a gift of public land or resources for the private gain of a limited group', 'a television or radio program in which contestants compete for awards', 'an unintentional disclosure']",[0]
d000.s001.t003,"Have you permitted it to become a giveaway [TGT] program [TGT] rather than one that has the goal of improved employee morale and , consequently , increased productivity ?","['program%1:09:00::', 'program%1:09:01::', 'program%1:04:00::', 'program%1:10:05::']","['a series of steps to be carried out or goals to be accomplished', 'a system of projects or services intended to meet a public need', 'a performance (or series of performances) at a public presentation', 'an integrated course of academic studies']",[1]
d000.s001.t004,"Have you permitted it to become a giveaway program [TGT] rather [TGT] than one that has the goal of improved employee morale and , consequently , increased productivity ?","['rather%4:02:01::', 'rather%4:02:00::', 'rather%4:02:02::', 'rather%4:02:04::']","['more readily or willingly', 'to a degree (not used with a negative)', 'on the contrary', 'to some (great or small) extent']",[2]
