id,sentence,sense_keys,glosses,target
d000.s000.t000,U.N. [TGT] group [TGT] drafts plan to reduce emissions,"['group%1:03:00::', 'group%1:27:00::', 'group%1:09:00::']","['any number of entities (members) considered as a unit', '(chemistry) two or more atoms bound together as a single unit and forming part of a molecule', 'a set that is closed, associative, has an identity element and every element has an inverse']",[0]
d000.s000.t001,U.N. group drafts [TGT] plan [TGT] to reduce emissions,"['plan%1:09:01::', 'plan%1:09:00::', 'plan%1:06:00::']","['an arrangement scheme', 'a series of steps to be carried out or goals to be accomplished', 'scale drawing of a structure']",[1]
d000.s000.t002,U.N. group drafts plan to reduce [TGT] emissions [TGT],"['emission%1:22:00::', 'emission%1:11:00::', 'emission%1:27:00::', 'emission%1:04:00::', 'emission%1:22:01::']","['the release of electrons from parent atoms', 'the occurrence of a flow of water (as from a pipe)', 'a substance that is emitted or released', 'the act of emitting; causing to flow forth', 'any of several bodily processes by which substances go out of the body']",[2]
d000.s001.t000,"The U.N.-sponsored [TGT] climate [TGT] conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","['climate%1:26:00::', 'climate%1:26:01::']","['the weather in some location averaged over some long period of time', 'the prevailing psychological state']",[0]
d000.s001.t001,"The U.N.-sponsored climate [TGT] conference [TGT] -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","['conference%1:14:01::', 'conference%1:14:00::', 'conference%1:10:00::']","['an association of sports teams that organizes matches for its members', 'a prearranged meeting for consultation or exchange of information or discussion (especially one with a formal agenda)', 'a discussion among participants who have an agreed (serious) topic']",[1]
d000.s001.t002,"The U.N.-sponsored climate conference -- characterized so far by unruly [TGT] posturing [TGT] and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .",['posturing%1:07:00::'],['adopting a vain conceited posture'],[0]
d000.s001.t003,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual [TGT] recriminations [TGT] -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .",['recrimination%1:10:00::'],['mutual accusations'],[0]
d000.s001.t004,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed [TGT] focus [TGT] Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","['focus%1:09:00::', 'focus%1:15:00::', 'focus%1:26:01::', 'focus%1:07:03::', 'focus%1:19:00::', 'focus%1:26:00::', 'focus%1:07:01::']","['the concentration of attention or energy on something', 'a fixed reference point on the concave side of a conic section', 'special emphasis attached to something', 'maximum clarity or distinctness of an idea', 'a point of convergence of light (or other radiation) or a point from which it diverges', 'a central point or locus of an infection in an organism', 'maximum clarity or distinctness of an image rendered by an optical system']",[0]
d000.s001.t005,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus [TGT] Friday [TGT] with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .",['friday%1:28:00::'],['the sixth day of the week; the fifth working day'],[0]
d000.s001.t006,"The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the [TGT] release [TGT] of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .","['release%1:04:01::', 'release%1:04:00::', 'release%1:10:00::', 'release%1:04:03::', 'release%1:04:02::', 'release%1:22:00::', 'release%1:04:06::', 'release%1:06:00::', 'release%1:11:00::', 'release%1:10:01::', 'release%1:04:05::', 'release%1:06:01::']","['the act of liberating someone or something', 'activity that frees or expresses creative energy or emotion', 'an announcement distributed to members of the press in order to supplement or replace an oral presentation', 'the act of allowing a fluid to escape', ""the termination of someone's employment (leaving them free to depart)"", 'a process that liberates or discharges something', '(music) the act or manner of terminating a musical phrase or tone', 'merchandise issued for sale or public showing (especially a record or film)', 'euphemistic expressions for death', 'a legal document evidencing the discharge of a debt or obligation', 'a formal written statement of relinquishment', 'a device that when pressed will release part of a mechanism']",[5]
