id,sentence,sense_keys,glosses,target
d000.s000.t000,That 's what the [TGT] man [TGT] had said .,"['man%1:18:06::', 'man%1:05:01::', 'man%1:18:00::', 'man%1:15:00::', 'man%1:05:00::', 'man%1:18:03::', 'man%1:18:07::', 'man%1:18:05::', 'man%1:18:08::', 'man%1:18:04::', 'man%1:06:00::']","['an adult male person who has a manly character (virile and courageous competent)', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'an adult person who is male (as opposed to a woman)', 'one of the British Isles in the Irish Sea', 'all of the living human inhabitants of the earth', 'someone who serves in the armed forces; a member of a military force', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'a manservant who acts as a personal attendant to his employer', 'a male subordinate', 'the generic use of the word to refer to any human being', 'game equipment consisting of an object used in playing certain board games']",[2]
d000.s000.t001,That 's what the man had [TGT] said [TGT] .,"['say%2:32:01::', 'say%2:42:00::', 'say%2:32:02::', 'say%2:32:04::', 'say%2:32:03::', 'say%2:32:13::', 'say%2:32:07::', 'say%2:32:09::', 'say%2:32:08::', 'say%2:32:00::', 'say%2:32:15::']","['report or maintain', 'have or contain a certain wording or form', 'speak, pronounce, or utter in a certain way', 'give instructions to or direct somebody to do something with authority', 'express a supposition', ""state as one's opinion or judgement; declare"", 'communicate or express nonverbally', 'indicate', 'recite or repeat a fixed text', 'express in words', 'utter aloud']",[0]
d000.s001.t000,"Haney [TGT] peered [TGT] doubtfully at his drinking companion through bleary , tear-filled eyes .",['peer%2:39:00::'],['look searchingly'],[0]
d000.s001.t001,"Haney peered doubtfully at his drinking [TGT] companion [TGT] through bleary , tear-filled eyes .","['companion%1:18:01::', 'companion%1:18:00::', 'companion%1:18:02::']","['one paid to accompany or assist or live with another', 'a friend who is frequently in the company of another', 'a traveler who accompanies you']",[1]
d000.s001.t002,"Haney peered doubtfully at his drinking companion through [TGT] bleary [TGT] , tear-filled eyes .","['bleary%5:00:00:tired:00', 'bleary%5:00:00:indistinct:00']","['tired to the point of exhaustion', 'indistinct or hazy in outline']",[1]
d000.s001.t003,"Haney peered doubtfully at his drinking companion through bleary , tear-filled [TGT] eyes [TGT] .","['eye%1:06:00::', 'eye%1:09:00::', 'eye%1:08:00::', 'eye%1:09:01::', 'eye%1:15:00::']","['a small hole or loop (as in a needle)', 'good discernment (either visually or as if visually)', 'the organ of sight', 'attention to what is seen', 'an area that is approximately central within some larger region']",[2]
d000.s002.t000,"He [TGT] had [TGT] no ready answer , as much from surprise as from the fit of coughing .","['have%2:40:04::', 'have%2:29:05::', 'have%2:42:00::', 'have%2:32:00::', 'have%2:40:03::', 'have%2:29:00::', 'have%2:40:02::', 'have%2:36:00::', 'have%2:35:00::', 'have%2:29:02::', 'have%2:40:05::', 'have%2:42:12::', 'have%2:30:00::', 'have%2:41:00::', 'have%2:40:01::', 'have%2:39:06::', 'have%2:40:00::', 'have%2:34:00::', 'have%2:30:01::']","['have ownership or possession of', 'undergo (as of injuries and illnesses)', 'have as a feature', 'cause to do; cause to act in a specified manner', 'get something; come into possession of', 'cause to be born', 'achieve a point or goal', 'organize or be responsible for', 'have sex with; archaic use', 'suffer from; be ill with', 'receive willingly something given or offered', 'be confronted with', 'cause to move; cause to be in a certain position or condition', 'have a personal or business relationship with someone', 'have left', 'go through (mental or physical states or experiences)', 'have or possess, either in a concrete or an abstract sense', 'serve oneself to, or consume regularly', 'undergo']",[16]
d000.s002.t001,"He had no [TGT] ready [TGT] answer , as much from surprise as from the fit of coughing .","['ready%5:00:00:prepared:00', 'ready%5:00:01:available:00', 'ready%5:00:00:willing:00', 'ready%5:00:00:intelligent:00', 'ready%3:00:00::']","['made suitable and available for immediate use', '(of especially money) immediately available', 'mentally disposed', 'apprehending and responding with speed and sensitivity', 'completely prepared or in condition for immediate action or use or progress']",[1]
d000.s002.t002,"He had no ready [TGT] answer [TGT] , as much from surprise as from the fit of coughing .","['answer%1:10:03::', 'answer%1:10:00::', 'answer%1:10:02::', 'answer%1:04:00::', 'answer%1:10:01::']","[""the principal pleading by the defendant in response to plaintiff's complaint; in criminal law it consists of the defendant's plea of `guilty' or `not guilty' (or nolo contendere); in civil law it must contain denials of all allegations in the plaintiff's complaint that the defendant hopes to controvert and it can contain affirmative defenses or counterclaims"", 'the speech act of replying to a question', 'a statement that solves a problem or explains how to solve the problem', 'a nonverbal reaction', 'a statement (either spoken or written) that is made to reply to a question or request or criticism or accusation']",[3]
d000.s002.t003,"He had no ready answer , as [TGT] much [TGT] from surprise as from the fit of coughing .",['much%3:00:00::'],['(quantifier used with mass nouns) great in quantity or degree or extent'],[0]
d000.s002.t004,"He had no ready answer , as much from [TGT] surprise [TGT] as from the fit of coughing .","['surprise%1:11:00::', 'surprise%1:12:00::', 'surprise%1:04:00::']","['a sudden unexpected event', 'the astonishment you feel when something totally unexpected happens to you', 'the act of surprising someone']",[1]
d000.s002.t005,"He had no ready answer , as much from surprise as from the [TGT] fit [TGT] of coughing .","['fit%1:04:00::', 'fit%1:26:01::', 'fit%1:07:00::', 'fit%1:26:00::']","['a sudden flurry of activity (often for no obvious reason)', 'a display of bad temper', 'the manner in which something fits', 'a sudden uncontrollable attack']",[3]
d000.s002.t006,"He had no ready answer , as much from surprise as from the fit of [TGT] coughing [TGT] .",['coughing%1:26:00::'],['a sudden noisy expulsion of air from the lungs that clears the air passages; a common symptom of upper respiratory infection or bronchitis or pneumonia or tuberculosis'],[0]
d000.s003.t000,Was the [TGT] man [TGT] drunk or crazy or both ?,"['man%1:18:06::', 'man%1:05:01::', 'man%1:18:00::', 'man%1:15:00::', 'man%1:05:00::', 'man%1:18:03::', 'man%1:18:07::', 'man%1:18:05::', 'man%1:18:08::', 'man%1:18:04::', 'man%1:06:00::']","['an adult male person who has a manly character (virile and courageous competent)', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'an adult person who is male (as opposed to a woman)', 'one of the British Isles in the Irish Sea', 'all of the living human inhabitants of the earth', 'someone who serves in the armed forces; a member of a military force', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'a manservant who acts as a personal attendant to his employer', 'a male subordinate', 'the generic use of the word to refer to any human being', 'game equipment consisting of an object used in playing certain board games']",[2]
d000.s003.t001,Was the man [TGT] drunk [TGT] or crazy or both ?,"['drunk%5:00:00:excited:00', 'drunk%3:00:00::']","['as if under the influence of alcohol', 'stupefied or excited by a chemical substance (especially alcohol)']",[1]
d000.s003.t002,Was the man drunk or [TGT] crazy [TGT] or both ?,"['crazy%5:00:00:impractical:00', 'crazy%5:00:00:enthusiastic:00', 'crazy%5:00:00:insane:00', 'crazy%5:00:00:strange:00', 'crazy%5:00:00:excited:00']","['foolish; totally unsound', 'intensely enthusiastic about or preoccupied with', 'affected with madness or insanity', 'bizarre or fantastic', 'possessed by inordinate excitement']",[2]
d000.s004.t000,"But his [TGT] new-found [TGT] buddy had matched him drink for drink until he lost count , and the man 's eyes were still clear .",['newfound%5:00:00:new:00'],['newly discovered'],[0]
d000.s004.t001,"But his new-found [TGT] buddy [TGT] had matched him drink for drink until he lost count , and the man 's eyes were still clear .",['buddy%1:18:00::'],['a close friend who accompanies his buddies in their activities'],[0]
d000.s004.t002,"But his new-found buddy had [TGT] matched [TGT] him drink for drink until he lost count , and the man 's eyes were still clear .","['match%2:30:01::', 'match%2:35:10::', 'match%2:42:00::', 'match%2:33:00::', 'match%2:35:08::', 'match%2:41:00::', 'match%2:42:01::', 'match%2:40:00::', 'match%2:30:00::', 'match%2:30:07::']","['make correspond or harmonize', 'give or join in marriage', 'be compatible, similar or consistent; coincide in their characteristics', 'set into opposition or rivalry', 'bring two objects, ideas, or people together', 'satisfy or fulfill', 'be equal to in quality or ability', 'provide funds complementary to', 'be equal or harmonize', 'make equal, uniform, corresponding, or matching']",[2]
d000.s004.t003,"But his new-found buddy had matched him [TGT] drink [TGT] for drink until he lost count , and the man 's eyes were still clear .","['drink%1:04:00::', 'drink%1:04:01::', 'drink%1:13:04::', 'drink%1:13:00::', 'drink%1:17:00::']","['the act of drinking alcoholic beverages to excess', 'the act of swallowing', 'a single serving of a beverage', 'any liquid suitable for drinking', 'any large deep body of water']",[2]
d000.s004.t004,"But his new-found buddy had matched him drink for [TGT] drink [TGT] until he lost count , and the man 's eyes were still clear .","['drink%1:04:00::', 'drink%1:04:01::', 'drink%1:13:04::', 'drink%1:13:00::', 'drink%1:17:00::']","['the act of drinking alcoholic beverages to excess', 'the act of swallowing', 'a single serving of a beverage', 'any liquid suitable for drinking', 'any large deep body of water']",[2]
